YEAR,LOW,HIGH
2014,4,58
2013,11,61
2012,13,62
2011,6,53
2010,13,57
2009,6,47
2008,12,64
2007,9,72
2006,16,64
2005,5,66
2004,1,58
2003,7,50
2002,21,69
2001,18,54
2000,3,64
1999,9,60
1998,14,65
1997,4,62
1996,6,56
1995,15,64
1994,-2,55
1993,21,64
1992,11,62
1991,10,55
1990,24,66
1989,11,61
1988,5,53
1987,8,57
1986,8,63
1985,-2,58
1984,8,57
1983,12,58
1982,0,58
1981,2,49
1980,17,60
1979,8,63
1978,12,58
1977,-2,44
1976,-1,56
1975,15,63
1974,6,66
1973,10,66
1972,5,62
1971,4,46
1970,3,51
1969,11,48
1968,-1,50
1967,13,68
1966,8,62
1965,9,55
1964,9,55
1963,4,51
1962,11,56
1961,5,55
1960,17,54
1959,14,61
1958,12,53
1957,0,60
1956,14,48
1955,13,50
1954,7,56
1953,21,57
1952,8,60
1951,11,64
1950,16,72
1949,20,61
1948,0,45
1947,12,63
1946,5,62
1945,2,55
1944,12,62
1943,10,56
1942,5,57
1941,10,47
1940,7,54
1939,6,55
1938,6,57
1937,25,66
1936,-3,54
1935,-1,58
1934,6,58
1933,13,61
1932,24,70
1931,11,56
1930,10,64
1929,8,62
1928,12,58
1927,-1,52
1926,5,54
1925,-2,45
1924,5,57
1923,9,53
1922,7,50
1921,4,57
1920,-1,51
1919,10,61
1918,-4,53
1917,8,51
1916,7,69
1915,12,58
1914,-5,58
1913,18,63
1912,-3,54
1911,18,56
1910,5,48
1909,5,57
1908,8,50
1907,4,64
1906,14,62
1905,4,53
1904,-4,54
1903,10,51
1902,13,51
1901,8,53
1900,10,57
